idx,phi_re,phi_im,psi_re,psi_im
437,-0.447925,0.259447,-0.501213,-0.865324
438,-0.427429,0.291982,-0.564066,-0.825730
439,-0.404575,0.322906,-0.623806,-0.781579
440,-0.379488,0.352048,-0.680105,-0.733115
441,-0.352307,0.379248,-0.732650,-0.680606
442,-0.323182,0.404354,-0.781152,-0.624340
443,-0.292274,0.427230,-0.825344,-0.564630
444,-0.259753,0.447747,-0.864981,-0.501804
445,-0.225798,0.465794,-0.899846,-0.436209
446,-0.190598,0.481271,-0.929744,-0.368206
447,-0.154345,0.494092,-0.954512,-0.298172
448,-0.117241,0.504186,-0.974013,-0.226492
449,-0.079490,0.511498,-0.988139,-0.153563
450,-0.041300,0.515988,-0.996812,-0.079786
451,-0.002883,0.517630,-0.999984,-0.005569
452,0.035551,0.516416,-0.997639,0.068679
453,0.073788,0.512352,-0.989788,0.142548
454,0.111618,0.505461,-0.976475,0.215630
455,0.148833,0.495780,-0.957774,0.287522
456,0.185225,0.483364,-0.933787,0.357828
457,0.220596,0.468280,-0.904648,0.426159
458,0.254750,0.450613,-0.870517,0.492139
459,0.287497,0.430458,-0.831582,0.555402
460,0.318659,0.407929,-0.788058,0.615601
461,0.348062,0.383148,-0.740185,0.672403
462,0.375544,0.356253,-0.688228,0.725495
463,0.400953,0.327392,-0.632473,0.774583
464,0.424151,0.296724,-0.573228,0.819396
465,0.445007,0.264420,-0.510819,0.859688
466,0.463408,0.230655,-0.445592,0.895236
467,0.479252,0.195619,-0.377906,0.925844
468,0.492451,0.159502,-0.308135,0.951343
469,0.502933,0.122506,-0.236663,0.971592
470,0.510639,0.084833,-0.163885,0.986479
471,0.515528,0.046692,-0.090203,0.995923
472,0.517572,0.008294,-0.016023,0.999872
473,0.516759,-0.030150,0.058245,0.998302
474,0.513095,-0.068428,0.132192,0.991224
475,0.506600,-0.106328,0.205410,0.978676
476,0.497309,-0.143641,0.277494,0.960727
477,0.485274,-0.180162,0.348046,0.937477
478,0.470561,-0.215689,0.416678,0.909054
479,0.453251,-0.250025,0.483011,0.875614
480,0.433440,-0.282982,0.546678,0.837343
481,0.411238,-0.314377,0.607329,0.794450
482,0.386766,-0.344037,0.664628,0.747174
483,0.360160,-0.371799,0.718260,0.695775
484,0.331566,-0.397509,0.767928,0.640536
485,0.301142,-0.421025,0.813359,0.581763
486,0.269057,-0.442219,0.854301,0.519779
487,0.235487,-0.460972,0.890529,0.454927
488,0.200618,-0.477181,0.921843,0.387565
489,0.164642,-0.490757,0.948069,0.318063
490,0.127757,-0.501625,0.969065,0.246807
491,0.090167,-0.509725,0.984712,0.174189
492,0.052079,-0.515012,0.994926,0.100610
493,0.013705,-0.517457,0.999649,0.026475
494,-0.024746,-0.517046,0.998857,-0.047806
495,-0.063060,-0.513783,0.992552,-0.121822
496,-0.101026,-0.507684,0.980770,-0.195167
497,-0.138434,-0.498784,0.963576,-0.267435
498,-0.175079,-0.487131,0.941065,-0.338227
499,-0.210757,-0.472790,0.913360,-0.407152
500,-0.245273,-0.455840,0.880616,-0.473831
501,-0.278435,-0.436375,0.843012,-0.537895
502,-0.310060,-0.414502,0.800756,-0.598990
503,-0.339975,-0.390341,0.754082,-0.656781
504,-0.368013,-0.364027,0.703246,-0.710947
505,-0.394021,-0.335703,0.648529,-0.761190
506,-0.417854,-0.305528,0.590234,-0.807232
507,-0.439382,-0.273666,0.528682,-0.848820
508,-0.458485,-0.240294,0.464212,-0.885724
509,-0.475057,-0.205596,0.397181,-0.917740
510,-0.489009,-0.169763,0.327958,-0.944692
511,-0.500262,-0.132994,0.256925,-0.966431
512,-0.508754,-0.095491,0.184474,-0.982837
513,-0.514439,-0.057461,0.111006,-0.993820
514,-0.517285,-0.019113,0.036924,-0.999318
515,-0.517277,0.019339,-0.037360,-0.999302
516,-0.514414,0.057685,-0.111439,-0.993771
517,-0.508712,0.095713,-0.184903,-0.982757
518,-0.500204,0.133212,-0.257346,-0.966319
519,-0.488935,0.169977,-0.328370,-0.944549
520,-0.474968,0.205803,-0.397581,-0.917567
521,-0.458380,0.240494,-0.464598,-0.885521
522,-0.439262,0.273857,-0.529052,-0.848589
523,-0.417721,0.305710,-0.590586,-0.806975
524,-0.393874,0.335875,-0.648861,-0.760907
525,-0.367854,0.364187,-0.703556,-0.710640
526,-0.234955,0.255755,-0.736418,-0.676527
527,-0.000000,0.000000,-0.750355,-0.661036
528,0.224096,-0.265322,-0.763965,-0.645257
529,0.430734,-0.531394,-0.776846,-0.629691
530,0.614852,-0.788643,-0.788643,-0.614852
531,0.772951,-1.027254,-0.799062,-0.601249
532,0.810329,-1.159037,-0.819563,-0.572989
533,0.746119,-1.201377,-0.849502,-0.527586
534,0.679701,-1.240164,-0.876928,-0.480621
535,0.611273,-1.275282,-0.901761,-0.432235
536,0.541037,-1.306629,-0.923926,-0.382571
537,0.469201,-1.334110,-0.943359,-0.331775
538,0.395977,-1.357646,-0.960001,-0.279998
539,0.321581,-1.377166,-0.973803,-0.227392
540,0.246235,-1.392612,-0.984725,-0.174114
541,0.170160,-1.403939,-0.992735,-0.120321
542,0.093582,-1.411114,-0.997808,-0.066172
543,0.016726,-1.414115,-0.999930,-0.011827
544,-0.060178,-1.412933,-0.999094,0.042552
545,-0.136905,-1.407571,-0.995303,0.096806
546,-0.213226,-1.398047,-0.988568,0.150774
547,-0.288917,-1.384387,-0.978909,0.204295
548,-0.363753,-1.366632,-0.966355,0.257212
549,-0.437514,-1.344835,-0.950942,0.309369
550,-0.509980,-1.319060,-0.932717,0.360610
551,-0.580938,-1.289384,-0.911732,0.410785
552,-0.650177,-1.255894,-0.888051,0.459745
553,-0.717494,-1.218689,-0.861743,0.507345
554,-0.782688,-1.177879,-0.832886,0.553444
555,-0.845567,-1.133586,-0.801566,0.597906
556,-0.905945,-1.085939,-0.767875,0.640600
557,-0.963643,-1.035081,-0.731912,0.681399
558,-1.018491,-0.981160,-0.693785,0.720182
559,-1.070327,-0.924338,-0.653606,0.756835
560,-1.118996,-0.864781,-0.611493,0.791250
561,-1.164356,-0.802667,-0.567571,0.823324
562,-1.206272,-0.738179,-0.521971,0.852963
563,-1.244620,-0.671507,-0.474827,0.880079
564,-1.279286,-0.602849,-0.426278,0.904592
565,-1.310169,-0.532407,-0.376469,0.926429
566,-1.337176,-0.460391,-0.325546,0.945526
567,-1.360228,-0.387013,-0.273660,0.961827
568,-1.379257,-0.312491,-0.220964,0.975282
569,-1.394206,-0.237044,-0.167615,0.985852
570,-1.405031,-0.160896,-0.113771,0.993507
571,-1.411700,-0.084272,-0.059589,0.998223
572,-1.414194,-0.007399,-0.005232,0.999986
573,-1.412505,0.069496,0.049141,0.998792
574,-1.406638,0.146185,0.103369,0.994643
575,-1.396610,0.222443,0.157291,0.987552
576,-1.382451,0.298042,0.210747,0.977541
577,-1.364203,0.372759,0.263581,0.964637
578,-1.341920,0.446374,0.315634,0.948881
579,-1.315668,0.518669,0.366754,0.930318
580,-1.285524,0.589430,0.416790,0.909003
581,-1.251578,0.658447,0.465592,0.884999
582,-1.213930,0.725516,0.513017,0.858378
583,-1.172691,0.790440,0.558925,0.829218
584,-1.127984,0.853025,0.603180,0.797605
585,-1.079940,0.913088,0.645651,0.763633
586,-1.028702,0.970449,0.686211,0.727402
587,-0.974421,1.024941,0.724742,0.689020
588,-0.917258,1.076400,0.761130,0.648600
589,-0.857382,1.124676,0.795266,0.606261
590,-0.794970,1.169625,0.827050,0.562129
591,-0.730206,1.211115,0.856387,0.516334
592,-0.663283,1.249022,0.883192,0.469012
593,-0.594398,1.283235,0.907384,0.420303
594,-0.523754,1.313652,0.928892,0.370350
595,-0.451562,1.340184,0.947653,0.319302
596,-0.378033,1.362751,0.963611,0.267310
597,-0.303387,1.381288,0.976718,0.214527
598,-0.227843,1.395739,0.986937,0.161109
599,-0.151625,1.406062,0.994236,0.107215
600,-0.074959,1.412226,0.998594,0.053004
601,0.001929,1.414212,0.999999,-0.001364
602,0.078811,1.412016,0.998446,-0.055728
603,0.155460,1.405643,0.993940,-0.109927
604,0.231649,1.395112,0.986493,-0.163801
605,0.307153,1.380455,0.976129,-0.217190
606,0.381749,1.361715,0.962878,-0.269937
607,0.455215,1.338947,0.946778,-0.321886
608,0.527335,1.312218,0.927879,-0.372882
609,0.597896,1.281609,0.906234,-0.422776
610,0.666687,1.247208,0.881909,-0.471419
611,0.733507,1.209118,0.854976,-0.518668
612,0.798157,1.167452,0.825513,-0.564382
613,0.860447,1.122333,0.793609,-0.608428
614,0.920191,1.073894,0.759358,-0.650673
615,0.977213,1.022279,0.722860,-0.690994
616,1.031345,0.967640,0.684225,-0.729271
617,1.082427,0.910139,0.643565,-0.765391
618,1.130306,0.849945,0.601002,-0.799247
619,1.174843,0.787238,0.556661,-0.830739
620,1.215904,0.722202,0.510674,-0.859774
621,1.253369,0.655030,0.463176,-0.886266
622,1.287127,0.585921,0.414309,-0.910136
623,1.317078,0.515079,0.364216,-0.931315
624,1.343133,0.442712,0.313045,-0.949738
625,1.365215,0.369037,0.260949,-0.965353
626,1.383259,0.294270,0.208080,-0.978112
627,1.397211,0.218632,0.154596,-0.987978
628,1.407031,0.142348,0.100655,-0.994921
629,1.412689,0.065643,0.046417,-0.998922
630,1.414169,-0.011256,-0.007959,-0.999968
631,1.411465,-0.088122,-0.062312,-0.998057
632,1.404587,-0.164728,-0.116480,-0.993193
633,1.393554,-0.240846,-0.170304,-0.985392
634,1.378399,-0.316252,-0.223624,-0.974676
635,1.359167,-0.390722,-0.276282,-0.961077
636,1.335915,-0.464037,-0.328124,-0.944635
637,1.308712,-0.535979,-0.378994,-0.925399
638,1.277637,-0.606336,-0.428744,-0.903426
639,1.242784,-0.674899,-0.477226,-0.878781
640,1.204254,-0.741466,-0.524296,-0.851536
641,1.162163,-0.805840,-0.569815,-0.821773
642,1.116634,-0.867830,-0.613649,-0.789579
643,1.067802,-0.927254,-0.655667,-0.755050
644,1.015811,-0.983935,-0.695747,-0.718287
645,0.960816,-1.037705,-0.733768,-0.679400
646,0.902980,-1.088406,-0.769619,-0.638503
647,0.842472,-1.135888,-0.803194,-0.595718
648,0.779472,-1.180010,-0.834393,-0.551170
649,0.714167,-1.220641,-0.863124,-0.504992
650,0.646749,-1.257663,-0.889302,-0.457321
651,0.577419,-1.290964,-0.912849,-0.408297
652,0.506380,-1.320447,-0.933697,-0.358065
653,0.433844,-1.346024,-0.951782,-0.306774
654,0.360024,-1.367619,-0.967053,-0.254576
655,0.285140,-1.385170,-0.979463,-0.201624
656,0.209412,-1.398623,-0.988976,-0.148077
657,0.133065,-1.407940,-0.995564,-0.094091
658,0.056324,-1.413092,-0.999207,-0.039827
659,-0.020583,-1.414064,-0.999894,0.014555
660,-0.097430,-1.410853,-0.997624,0.068893
661,-0.173988,-1.403470,-0.992403,0.123028
662,-0.250032,-1.391935,-0.984247,0.176799
663,-0.325336,-1.376283,-0.973179,0.230048
664,-0.399678,-1.356561,-0.959233,0.282615
665,-0.472838,-1.332826,-0.942450,0.334347
666,-0.544599,-1.305148,-0.922879,0.385090
667,-0.614749,-1.273610,-0.900578,0.434693
668,-0.683081,-1.238305,-0.875614,0.483011
669,-0.749393,-1.199337,-0.848060,0.529901
670,-0.813488,-1.156822,-0.817997,0.575223
671,-0.875176,-1.110885,-0.785515,0.618843
672,-0.934277,-1.061663,-0.750709,0.660633
673,-0.990613,-1.009300,-0.713683,0.700469
674,-1.044020,-0.953951,-0.674545,0.738233
675,-1.094338,-0.895781,-0.633413,0.773814
676,-1.141420,-0.834962,-0.590407,0.807106
677,-1.185125,-0.771672,-0.545655,0.838010
678,-1.225325,-0.706101,-0.499288,0.866436
679,-1.261901,-0.638440,-0.451445,0.892299
680,-1.294744,-0.568891,-0.402267,0.915522
681,-1.323758,-0.497660,-0.351899,0.936038
682,-1.348856,-0.424957,-0.300490,0.953785
683,-1.369964,-0.350996,-0.248192,0.968711
684,-1.387020,-0.275998,-0.195160,0.980771
685,-1.399974,-0.200183,-0.141551,0.989931
686,-1.408787,-0.123776,-0.087523,0.996163
687,-1.413432,-0.047002,-0.033236,0.999448
688,-1.413897,0.029910,0.021149,0.999776
689,-1.410180,0.106733,0.075472,0.997148
690,-1.402292,0.183241,0.129571,0.991570
691,-1.390256,0.259207,0.183287,0.983059
692,-1.374108,0.334407,0.236461,0.971641
693,-1.353895,0.408617,0.288936,0.957348
694,-1.329678,0.481619,0.340556,0.940224
695,-1.301528,0.553196,0.391168,0.920319
696,-1.269528,0.623136,0.440624,0.897692
697,-1.233773,0.691234,0.488776,0.872409
698,-1.194369,0.757287,0.535483,0.844546
699,-1.151432,0.821100,0.580605,0.814185
700,-1.105089,0.882484,0.624011,0.781416
701,-1.055477,0.941259,0.665570,0.746335
702,-1.002744,0.997249,0.705161,0.709047
703,-0.947044,1.050289,0.742666,0.669662
704,-0.888544,1.100223,0.777975,0.628295
705,-0.827415,1.146902,0.810982,0.585071
706,-0.763839,1.190189,0.841591,0.540116
707,-0.698003,1.229956,0.869710,0.493563
708,-0.630103,1.266084,0.895257,0.445550
709,-0.560339,1.298468,0.918156,0.396220
710,-0.488918,1.327011,0.938339,0.345717
711,-0.416051,1.351629,0.955746,0.294192
712,-0.341953,1.372249,0.970327,0.241797
713,-0.266843,1.388811,0.982037,0.188687
714,-0.190945,1.401264,0.990843,0.135018
715,-0.114481,1.409572,0.996718,0.080950
716,-0.037679,1.413712,0.999645,0.026643
717,0.039235,1.413669,0.999615,-0.027743
718,0.116032,1.409445,0.996628,-0.082047
719,0.192487,1.401053,0.990694,-0.136109
720,0.268372,1.388516,0.981829,-0.189767
721,0.343463,1.371872,0.970060,-0.242865
722,0.417538,1.351171,0.955422,-0.295244
723,0.490378,1.326472,0.937958,-0.346750
724,0.561768,1.297851,0.917719,-0.397230
725,0.631496,1.265390,0.894766,-0.446535
726,0.699356,1.229187,0.869166,-0.494520
727,0.765148,1.189348,0.840996,-0.541041
728,0.828677,1.145991,0.810338,-0.585963
729,0.889754,1.099244,0.777283,-0.629151
730,0.948200,1.049246,0.741929,-0.670478
731,1.003841,0.996144,0.704381,-0.709823
732,1.056512,0.940096,0.664749,-0.747067
733,1.106059,0.881268,0.623150,-0.782102
734,1.152335,0.819832,0.579709,-0.814824
735,1.195201,0.755972,0.534553,-0.845135
736,1.234533,0.689876,0.487816,-0.872947
737,1.270213,0.621739,0.439636,-0.898176
738,1.302136,0.551763,0.390155,-0.920749
739,1.330207,0.480155,0.339521,-0.940599
740,1.354344,0.407127,0.287882,-0.957666
741,1.374475,0.332894,0.235392,-0.971901
742,1.390540,0.257677,0.182205,-0.983260
743,1.402493,0.181698,0.128480,-0.991712
744,1.410297,0.105181,0.074375,-0.997230
745,1.413929,0.028354,0.020049,-0.999799
746,1.413380,-0.048558,-0.034336,-0.999410
747,1.408649,-0.125326,-0.088619,-0.996066
748,1.399753,-0.201723,-0.142640,-0.989775
749,1.386716,-0.277524,-0.196239,-0.980556
750,1.369577,-0.352504,-0.249258,-0.968437
751,1.348387,-0.426441,-0.301539,-0.953454
752,1.323209,-0.499117,-0.352929,-0.935650
753,1.294117,-0.570316,-0.403274,-0.915079
754,1.261198,-0.639829,-0.452427,-0.891801
755,1.224547,-0.707449,-0.500242,-0.865886
756,1.184275,-0.772976,-0.546577,-0.837409
757,1.140500,-0.836217,-0.591295,-0.806455
758,1.093352,-0.896985,-0.634264,-0.773116
759,1.042969,-0.955100,-0.675357,-0.737491
760,0.989502,-1.010389,-0.714453,-0.699683
761,0.933108,-1.062690,-0.751435,-0.659807
762,0.873953,-1.111848,-0.786195,-0.617978
763,0.812214,-1.157717,-0.818629,-0.574322
764,0.748072,-1.200161,-0.848642,-0.528967
765,0.681718,-1.239056,-0.876145,-0.482048
766,0.613347,-1.274286,-0.901056,-0.433702
767,0.543162,-1.305747,-0.923302,-0.384074
768,0.471371,-1.333345,-0.942817,-0.333310
769,0.398185,-1.357000,-0.959544,-0.281559
770,0.323822,-1.376641,-0.973432,-0.228976
771,0.248500,-1.392210,-0.984441,-0.175716
772,0.172444,-1.403661,-0.992538,-0.121936
773,0.095877,-1.410960,-0.997699,-0.067796
774,0.019027,-1.414086,-0.999909,-0.013454
775,-0.057879,-1.413029,-0.999162,0.040927
776,-0.134614,-1.407792,-0.995459,0.095187
777,-0.210951,-1.398392,-0.988812,0.149165
778,-0.286664,-1.384855,-0.979240,0.202702
779,-0.361529,-1.367222,-0.966772,0.255640
780,-0.435325,-1.345545,-0.951444,0.307821
781,-0.507833,-1.319888,-0.933302,0.359092
782,-0.578839,-1.290328,-0.912399,0.409301
783,-0.648133,-1.256950,-0.888798,0.458299
784,-0.715510,-1.219855,-0.862568,0.505942
785,-0.780770,-1.179151,-0.833786,0.552088
786,-0.843721,-1.134960,-0.802538,0.596601
787,-0.904177,-1.087412,-0.768916,0.639350
788,-0.961958,-1.036647,-0.733020,0.680207
789,-1.016894,-0.982816,-0.694956,0.719052
790,-1.068821,-0.926078,-0.654836,0.755771
791,-1.117588,-0.866601,-0.612779,0.790254
792,-1.242195,-0.896799,-0.585344,0.810785
793,-1.416384,-0.996924,-0.575574,0.817749
794,-1.546369,-1.068098,-0.568323,0.822806
795,-1.626647,-1.110588,-0.563860,0.825870
796,-1.653794,-1.124707,-0.562354,0.826897
797,-1.626647,-1.110588,-0.563860,0.825870
798,-1.582028,-1.108709,-0.573910,0.818918
799,-1.559643,-1.139985,-0.590099,0.807331
800,-1.536639,-1.170808,-0.606055,0.795423
801,-1.513026,-1.201167,-0.621770,0.783200
802,-1.488814,-1.231050,-0.637238,0.770667
803,-1.464011,-1.260445,-0.652454,0.757828
804,-1.438628,-1.289341,-0.667412,0.744689
805,-1.412675,-1.317725,-0.682105,0.731255
806,-1.386162,-1.345587,-0.696527,0.717530
807,-1.359100,-1.372916,-0.710674,0.703522
808,-1.331499,-1.399701,-0.724538,0.689234
809,-1.303370,-1.425931,-0.738116,0.674674
810,-1.274724,-1.451595,-0.751401,0.659846
811,-1.245574,-1.476685,-0.764388,0.644756
812,-1.215929,-1.501189,-0.777072,0.629411
813,-1.185803,-1.525098,-0.789449,0.613817
814,-1.155206,-1.548402,-0.801512,0.597979
815,-1.124152,-1.571093,-0.813258,0.581904
816,-1.092652,-1.593161,-0.824681,0.565598
817,-1.060719,-1.614598,-0.835777,0.549069
818,-1.028366,-1.635394,-0.846542,0.532321
819,-0.995605,-1.655543,-0.856972,0.515363
820,-0.962449,-1.675035,-0.867062,0.498200
821,-0.928912,-1.693863,-0.876808,0.480840
822,-0.895007,-1.712020,-0.886207,0.463290
823,-0.860747,-1.729499,-0.895254,0.445555
824,-0.826146,-1.746291,-0.903947,0.427645
825,-0.791217,-1.762392,-0.912281,0.409564
826,-0.755975,-1.777794,-0.920254,0.391321
827,-0.720433,-1.792492,-0.927862,0.372924
828,-0.684606,-1.806479,-0.935102,0.354378
829,-0.648507,-1.819750,-0.941972,0.335692
830,-0.612151,-1.832300,-0.948468,0.316873
831,-0.575553,-1.844123,-0.954588,0.297928
832,-0.538726,-1.855216,-0.960330,0.278865
833,-0.501686,-1.865573,-0.965692,0.259692
834,-0.464447,-1.875191,-0.970670,0.240415
835,-0.427024,-1.884065,-0.975264,0.221044
836,-0.389432,-1.892193,-0.979471,0.201585
837,-0.351685,-1.899571,-0.983290,0.182046
838,-0.313799,-1.906195,-0.986719,0.162434
839,-0.275789,-1.912065,-0.989758,0.142759
840,-0.237669,-1.917176,-0.992403,0.123026
841,-0.199455,-1.921528,-0.994656,0.103245
842,-0.161162,-1.925118,-0.996514,0.083424
843,-0.122805,-1.927944,-0.997977,0.063569
844,-0.084399,-1.930007,-0.999045,0.043688
845,-0.045960,-1.931305,-0.999717,0.023791
846,-0.007503,-1.931837,-0.999992,0.003884
847,0.030957,-1.931604,-0.999872,-0.016025
848,0.069405,-1.930605,-0.999354,-0.035927
849,0.107825,-1.928840,-0.998441,-0.055814
850,0.146203,-1.926311,-0.997132,-0.075680
851,0.184523,-1.923019,-0.995428,-0.095516
852,0.222769,-1.918964,-0.993329,-0.115314
853,0.260928,-1.914149,-0.990837,-0.135066
854,0.298982,-1.908575,-0.987951,-0.154765
855,0.336919,-1.902245,-0.984675,-0.174402
856,0.374722,-1.895161,-0.981007,-0.193970
857,0.412376,-1.887325,-0.976951,-0.213462
858,0.449867,-1.878742,-0.972508,-0.232868
859,0.487179,-1.869414,-0.967680,-0.252183
860,0.524299,-1.859344,-0.962467,-0.271397
861,0.561210,-1.848538,-0.956874,-0.290504
862,0.597900,-1.836999,-0.950901,-0.309496
863,0.634352,-1.824732,-0.944551,-0.328365
864,0.670553,-1.811742,-0.937827,-0.347104
865,0.706488,-1.798034,-0.930731,-0.365705
866,0.742143,-1.783613,-0.923266,-0.384161
867,0.777503,-1.768485,-0.915435,-0.402465
868,0.812556,-1.752656,-0.907242,-0.420610
869,0.847287,-1.736133,-0.898688,-0.438588
870,0.881681,-1.718921,-0.889779,-0.456392
871,0.915727,-1.701028,-0.880517,-0.474015
872,0.949409,-1.682461,-0.870906,-0.491450
873,0.982715,-1.663226,-0.860949,-0.508691
874,1.015631,-1.643333,-0.850652,-0.525729
875,1.048145,-1.622788,-0.840017,-0.542560
876,1.080244,-1.601600,-0.829049,-0.559175
877,1.111914,-1.579778,-0.817753,-0.575569
878,1.143144,-1.557329,-0.806133,-0.591735
879,1.173920,-1.534263,-0.794193,-0.607666
880,1.204231,-1.510588,-0.781938,-0.623356
881,1.234065,-1.486315,-0.769373,-0.638799
882,1.263410,-1.461453,-0.756504,-0.653989
883,1.292254,-1.436012,-0.743334,-0.668920
884,1.320586,-1.410001,-0.729870,-0.683586
885,1.348394,-1.383432,-0.716117,-0.697980
886,1.375668,-1.356314,-0.702080,-0.712098
887,1.402397,-1.328659,-0.687764,-0.725934
888,1.428570,-1.300477,-0.673176,-0.739482
889,1.454176,-1.271779,-0.658321,-0.752737
890,1.479206,-1.242578,-0.643206,-0.765694
891,1.503650,-1.212884,-0.627835,-0.778347
892,1.527498,-1.182709,-0.612215,-0.790691
893,1.550741,-1.152065,-0.596353,-0.802722
894,1.573368,-1.120965,-0.580254,-0.814435
895,1.595373,-1.089420,-0.563926,-0.825826
896,1.616744,-1.057444,-0.547373,-0.836889
897,1.637476,-1.025049,-0.530604,-0.847620
898,1.657558,-0.992247,-0.513625,-0.858015
899,1.676983,-0.959052,-0.496442,-0.868070
900,1.695743,-0.925477,-0.479062,-0.877781
901,1.713831,-0.891535,-0.461492,-0.887144
902,1.731240,-0.857239,-0.443740,-0.896156
903,1.747963,-0.822604,-0.425811,-0.904812
904,1.763992,-0.787643,-0.407714,-0.913110
905,1.779323,-0.752370,-0.389455,-0.921045
906,1.793949,-0.716798,-0.371042,-0.928616
907,1.807863,-0.680942,-0.352482,-0.935819
908,1.821061,-0.644817,-0.333782,-0.942650
909,1.833537,-0.608436,-0.314949,-0.949108
910,1.845286,-0.571813,-0.295992,-0.955190
911,1.856304,-0.534964,-0.276918,-0.960894
912,1.866586,-0.497903,-0.257734,-0.966216
913,1.876128,-0.460645,-0.238447,-0.971155
914,1.884927,-0.423204,-0.219066,-0.975710
915,1.892978,-0.385595,-0.199599,-0.979878
916,1.900280,-0.347834,-0.180052,-0.983657
917,1.906828,-0.309934,-0.160434,-0.987047
918,1.912620,-0.271912,-0.140752,-0.990045
919,1.917654,-0.233782,-0.121014,-0.992651
920,1.921928,-0.195559,-0.101229,-0.994863
921,1.925440,-0.157259,-0.081403,-0.996681
922,1.928189,-0.118897,-0.061545,-0.998104
923,1.930174,-0.080487,-0.041663,-0.999132
924,1.931394,-0.042045,-0.021764,-0.999763
925,1.931848,-0.003587,-0.001857,-0.999998
926,1.931537,0.034872,0.018051,-0.999837
927,1.930460,0.073318,0.037952,-0.999280
928,1.928618,0.111735,0.057838,-0.998326
929,1.926011,0.150108,0.077701,-0.996977
930,1.922641,0.188421,0.097534,-0.995232
931,1.918509,0.226659,0.117327,-0.993093
932,1.913616,0.264807,0.137074,-0.990561
933,1.907965,0.302851,0.156767,-0.987636
934,1.901558,0.340774,0.176398,-0.984319
935,1.894397,0.378563,0.195958,-0.980612
936,1.886486,0.416201,0.215441,-0.976517
937,1.877826,0.453674,0.234839,-0.972034
938,1.868422,0.490968,0.254144,-0.967166
939,1.858278,0.528067,0.273347,-0.961915
940,1.847397,0.564956,0.292443,-0.956283
941,1.835784,0.601622,0.311423,-0.950272
942,1.823443,0.638049,0.330279,-0.943883
943,1.810379,0.674224,0.349004,-0.937121
944,1.796598,0.710131,0.367591,-0.929988
945,1.782105,0.745757,0.386032,-0.922485
946,1.766905,0.781087,0.404320,-0.914618
947,1.751005,0.816107,0.422448,-0.906387
948,1.734411,0.850804,0.440409,-0.897797
949,1.717130,0.885164,0.458195,-0.888852
950,1.699168,0.919173,0.475799,-0.879554
951,1.680533,0.952817,0.493215,-0.869908
952,1.661231,0.986084,0.510435,-0.859916
953,1.641271,1.018960,0.527453,-0.849584
954,1.620660,1.051433,0.544262,-0.838916
955,1.599407,1.083488,0.560855,-0.827914
956,1.577521,1.115114,0.577226,-0.816585
957,1.555008,1.146298,0.593368,-0.804932
958,1.531880,1.177028,0.609274,-0.792959
959,1.508144,1.207291,0.624940,-0.780673
960,1.483811,1.237076,0.640358,-0.768077
961,1.458889,1.266370,0.655521,-0.755177
962,1.433389,1.295162,0.670425,-0.741977
963,1.407321,1.323441,0.685064,-0.728483
964,1.380696,1.351196,0.699430,-0.714701
965,1.353523,1.378415,0.713520,-0.700635
966,1.325813,1.405087,0.727327,-0.686291
967,1.297578,1.431203,0.740845,-0.671676
968,1.268829,1.456751,0.754070,-0.656794
969,1.239577,1.481722,0.766996,-0.641652
970,1.209833,1.506106,0.779618,-0.626256
971,1.179610,1.529893,0.791931,-0.610611
972,1.148919,1.553073,0.803930,-0.594724
973,1.117773,1.575638,0.815610,-0.578602
974,1.086184,1.597578,0.826967,-0.562250
975,1.054165,1.618885,0.837996,-0.545676
976,1.021727,1.639550,0.848694,-0.528885
977,0.988885,1.659565,0.859054,-0.511884
978,0.955650,1.678923,0.869075,-0.494681
979,0.922037,1.697615,0.878750,-0.477282
980,0.888059,1.715635,0.888078,-0.459693
981,0.853728,1.732974,0.897053,-0.441922
982,0.819059,1.749626,0.905673,-0.423976
983,0.784066,1.765585,0.913934,-0.405862
984,0.748761,1.780845,0.921833,-0.387587
985,0.713160,1.795398,0.929366,-0.369159
986,0.677276,1.809240,0.936531,-0.350584
987,0.641124,1.822364,0.943325,-0.331870
988,0.604718,1.834766,0.949745,-0.313025
989,0.568071,1.846441,0.955788,-0.294055
990,0.531200,1.857384,0.961453,-0.274969
991,0.494118,1.867591,0.966736,-0.255775
992,0.456841,1.877058,0.971637,-0.236478
993,0.419382,1.885781,0.976152,-0.217088
994,0.381757,1.893756,0.980280,-0.197612
995,0.343981,1.900981,0.984020,-0.178058
996,0.306068,1.907452,0.987370,-0.158433
997,0.268034,1.913167,0.990328,-0.138745
998,0.229894,1.918124,0.992894,-0.119002
999,0.191663,1.922321,0.995066,-0.099212
1000,0.153356,1.925755,0.996844,-0.079383
1001,0.114988,1.928426,0.998227,-0.059522
1002,0.076574,1.930333,0.999214,-0.039638
1003,0.038130,1.931475,0.999805,-0.019738
1004,-0.000329,1.931852,1.000000,0.000170
1005,-0.038788,1.931462,0.999798,0.020078
1006,-0.077231,1.930307,0.999201,0.039978
1007,-0.115644,1.928387,0.998207,0.059862
1008,-0.154011,1.925703,0.996817,0.079722
1009,-0.192318,1.922255,0.995032,0.099551
1010,-0.230547,1.918046,0.992853,0.119340
1011,-0.268686,1.913076,0.990281,0.139082
1012,-0.306718,1.907348,0.987316,0.158769
1013,-0.344628,1.900864,0.983959,0.178393
1014,-0.382402,1.893626,0.980213,0.197946
