idx,delta_phi_re,delta_phi_im,delta_psi_re,delta_psi_im
578,9.52201,14.3546,-0.877276,1.24148
579,10.6568,13.95,-0.910367,1.28824
580,11.7738,13.5088,-0.938391,1.33403
581,12.8699,13.0336,-0.961216,1.37865
582,13.942,12.5269,-0.978727,1.42186
583,14.9871,11.9914,-0.990819,1.46348
584,16.0024,11.4298,-0.997402,1.50329
585,16.985,10.8447,-0.998397,1.5411
586,17.9323,10.2391,-0.99374,1.57674
587,18.8415,9.61571,-0.983382,1.61002
588,19.7102,8.97733,-0.967286,1.6408
589,20.5361,8.32681,-0.945425,1.66892
590,21.3169,7.66693,-0.917791,1.69423
591,22.0504,7.00052,-0.884386,1.71663
592,22.7346,6.3303,-0.845224,1.73598
593,23.3677,5.65902,-0.800336,1.75219
594,23.9479,4.98933,-0.749764,1.76518
595,24.4736,4.32384,-0.693561,1.77486
596,24.9434,3.6651,-0.631797,1.78119
597,25.3559,3.01555,-0.56455,1.78411
598,25.7099,2.37757,-0.491915,1.78358
599,26.0045,1.75343,-0.413997,1.7796
600,26.2388,1.14531,-0.330913,1.77216
601,26.4121,0.555279,-0.242794,1.76126
602,26.5239,-0.0147223,-0.149781,1.74693
603,26.5736,-0.56287,-0.0520298,1.72921
604,26.5612,-1.08745,0.0502974,1.70814
605,26.4866,-1.58691,0.157023,1.68379
606,26.3499,-2.0598,0.267959,1.65624
607,26.1513,-2.50485,0.382906,1.62556
608,25.8913,-2.92091,0.501656,1.59187
609,25.5704,-3.30695,0.623989,1.55527
610,25.1896,-3.66214,0.749675,1.51588
611,24.7496,-3.98575,0.878475,1.47384
612,24.2515,-4.27724,1.01014,1.42929
613,23.6968,-4.53618,1.14441,1.38238
614,23.0867,-4.76233,1.28102,1.33326
615,22.4228,-4.95554,1.4197,1.28211
616,21.7069,-5.11586,1.56016,1.2291
617,20.9409,-5.24344,1.70212,1.1744
618,20.1268,-5.3386,1.84527,1.11821
619,19.2667,-5.40178,1.98931,1.06072
620,18.3631,-5.43353,2.13393,1.00211
621,17.4184,-5.43457,2.27881,0.942588
622,16.4351,-5.40571,2.42365,0.882351
623,15.4161,-5.34787,2.5681,0.821599
624,14.364,-5.2621,2.71184,0.760534
625,13.282,-5.14952,2.85455,0.699356
626,12.173,-5.01137,2.99588,0.638266
627,11.0401,-4.84898,3.1355,0.57746
628,9.88677,-4.66373,3.27308,0.517134
629,8.71617,-4.45708,3.40827,0.457479
630,7.53174,-4.23059,3.54074,0.398682
631,6.33693,-3.9858,3.67016,0.340925
632,5.13527,-3.72436,3.79618,0.284382
633,3.93032,-3.44791,3.91848,0.229225
634,2.72566,-3.15816,4.03672,0.175613
635,1.52492,-2.85679,4.1506,0.123702
636,0.33172,-2.54552,4.25978,0.0736352
637,-0.850319,-2.22607,4.36395,0.0255495
638,-2.01757,-1.90012,4.46281,-0.0204294
639,-3.16645,-1.56937,4.55606,-0.0641854
640,-4.29339,-1.23547,4.64341,-0.105614
641,-5.39489,-0.900044,4.72458,-0.144621
642,-6.46748,-0.564652,4.7993,-0.181125
643,-7.5078,-0.23085,4.86731,-0.215054
644,-8.51253,0.0999168,4.92837,-0.246351
645,-9.47847,0.42623,4.98223,-0.274971
646,-10.4025,0.746753,5.02868,-0.300879
647,-11.2817,1.06025,5.06752,-0.324055
648,-12.1131,1.36552,5.09854,-0.344491
649,-12.8941,1.66149,5.12157,-0.362192
650,-13.6221,1.94714,5.13646,-0.377175
651,-14.2947,2.22161,5.14307,-0.389471
652,-14.9096,2.48406,5.14126,-0.39912
653,-15.4649,2.73382,5.13093,-0.406178
654,-15.9585,2.97024,5.11199,-0.410711
655,-16.389,3.19287,5.08438,-0.412796
656,-16.7548,3.40129,5.04805,-0.412522
657,-17.0547,3.59522,5.00297,-0.409989
658,-17.2876,3.77447,4.94913,-0.405305
659,-17.4527,3.93896,4.88654,-0.398591
660,-17.5496,4.08869,4.81525,-0.389975
661,-17.5778,4.2238,4.7353,-0.379594
662,-17.5373,4.34446,4.64677,-0.367591
663,-17.4281,4.45099,4.54977,-0.354121
664,-17.2507,4.54376,4.4444,-0.339339
665,-17.0058,4.62323,4.33082,-0.323412
666,-16.694,4.68994,4.20917,-0.306508
667,-16.3167,4.74449,4.07965,-0.288799
668,-15.875,4.78755,3.94246,-0.270464
669,-15.3706,4.81984,3.79782,-0.25168
670,-14.8053,4.84216,3.64596,-0.232629
671,-14.1811,4.85529,3.48716,-0.213492
672,-13.5002,4.86011,3.3217,-0.194452
673,-12.7652,4.85751,3.14986,-0.17569
674,-11.9785,4.84836,2.97196,-0.157386
675,-11.1432,4.83359,2.78834,-0.139716
676,-10.2621,4.81411,2.59934,-0.122856
677,-9.33854,4.79087,2.40532,-0.106975
678,-8.37582,4.76474,2.20665,-0.0922402
679,-7.37743,4.73664,2.00372,-0.0788109
680,-6.34701,4.70741,1.79693,-0.0668423
681,-5.28828,4.67793,1.58668,-0.056482
682,-4.20511,4.64896,1.3734,-0.0478706
683,-3.1014,4.62128,1.1575,-0.0411413
684,-1.98118,4.5956,0.939414,-0.0364183
685,-0.848486,4.57258,0.719584,-0.0338177
686,0.292576,4.55281,0.49845,-0.033446
687,1.4379,4.53684,0.276453,-0.0353999
688,2.58335,4.52514,0.0540396,-0.0397669
689,3.72484,4.51812,-0.168345,-0.0466235
690,4.85828,4.51612,-0.390256,-0.0560362
691,5.97965,4.51939,-0.611252,-0.0680613
692,7.08498,4.52813,-0.830896,-0.0827441
693,8.17038,4.54248,-1.04875,-0.100119
694,9.23208,4.56247,-1.26439,-0.120209
695,10.2664,4.58809,-1.4774,-0.143029
696,11.2698,4.61924,-1.68736,-0.16858
697,12.2388,4.65578,-1.89388,-0.196856
698,13.1703,4.69747,-2.09655,-0.227838
699,14.0611,4.74405,-2.29502,-0.261498
700,14.9084,4.79519,-2.48889,-0.297799
701,15.7094,4.85049,-2.67784,-0.336695
702,16.4617,4.90953,-2.86151,-0.378129
703,17.163,4.97186,-3.0396,-0.422037
704,17.8112,5.03696,-3.21178,-0.468348
705,18.4046,5.10431,-3.37778,-0.516981
706,18.9414,5.17334,-3.53732,-0.567851
707,19.4205,5.24354,-3.69016,-0.620863
708,19.8406,5.31431,-3.83605,-0.675917
709,20.2009,5.38509,-3.97479,-0.732911
710,20.5009,5.45535,-4.10619,-0.791733
711,20.7401,5.52453,-4.23005,-0.85227
712,20.9185,5.59211,-4.34625,-0.914404
713,21.0363,5.65762,-4.45462,-0.978014
714,21.0936,5.72061,-4.55508,-1.04298
715,21.0913,5.78069,-4.64751,-1.10917
716,21.0301,5.83748,-4.73184,-1.17645
717,20.9112,5.89069,-4.80802,-1.24471
718,20.7357,5.94009,-4.87602,-1.31381
719,20.5051,5.98549,-4.93581,-1.38363
720,20.2212,6.02679,-4.98741,-1.45402
721,19.8857,6.06396,-5.03082,-1.52488
722,19.5008,6.09701,-5.0661,-1.59606
723,19.0685,6.12609,-5.09329,-1.66744
724,18.5913,6.15135,-5.11247,-1.7389
725,18.0714,6.17306,-5.12372,-1.81031
726,17.5116,6.19159,-5.12716,-1.88156
727,16.9144,6.2073,-5.12289,-1.95253
728,16.2825,6.22071,-5.11106,-2.02309
729,15.6189,6.23234,-5.09181,-2.09314
730,14.9263,6.24283,-5.0653,-2.16257
731,14.2076,6.25282,-5.03169,-2.23127
732,13.4657,6.26304,-4.99117,-2.29913
733,12.7035,6.27425,-4.94394,-2.36605
734,11.924,6.28727,-4.89019,-2.43192
735,11.1299,6.30291,-4.83013,-2.49665
736,10.3242,6.32203,-4.76399,-2.56015
737,9.50957,6.34549,-4.69198,-2.62231
738,8.68878,6.37417,-4.61434,-2.68304
739,7.86446,6.40892,-4.53131,-2.74226
740,7.03918,6.45056,-4.44314,-2.79987
741,6.21541,6.49994,-4.35007,-2.85578
742,5.3955,6.55782,-4.25236,-2.9099
743,4.58173,6.6249,-4.15026,-2.96215
744,3.77621,6.70187,-4.04403,-3.01245
745,2.981,6.78929,-3.93395,-3.06069
746,2.19797,6.88772,-3.82026,-3.10681
747,1.4289,6.99755,-3.70325,-3.1507
748,0.675453,7.11909,-3.58319,-3.1923
749,-0.0608796,7.25259,-3.46034,-3.2315
750,-0.778669,7.39812,-3.33497,-3.26822
751,-1.47666,7.55568,-3.20737,-3.30238
752,-2.1537,7.72513,-3.0778,-3.33389
753,-2.80874,7.90616,-2.94655,-3.36266
754,-3.44085,8.09836,-2.81389,-3.38862
755,-4.04921,8.30121,-2.68009,-3.41166
756,-4.63308,8.51398,-2.54543,-3.43171
757,-5.1918,8.73585,-2.41019,-3.44868
758,-5.72485,8.96586,-2.27465,-3.46248
759,-6.23168,9.20289,-2.13908,-3.47305
760,-6.71188,9.44571,-2.00376,-3.48029
761,-7.16505,9.69296,-1.86896,-3.48413
762,-7.59087,9.94317,-1.73497,-3.48449
763,-7.989,10.1947,-1.60205,-3.48131
764,-8.35917,10.446,-1.47049,-3.47453
765,-8.70108,10.6951,-1.34055,-3.46406
766,-9.01447,10.9404,-1.2125,-3.44988
767,-9.29906,11.1797,-1.08663,-3.43192
768,-9.55455,11.4113,-0.963189,-3.41014
769,-9.78064,11.633,-0.842451,-3.38451
770,-9.97699,11.843,-0.724679,-3.35501
771,-10.1432,12.0391,-0.610132,-3.32163
772,-10.279,12.2195,-0.499067,-3.28435
773,-10.3837,12.3822,-0.391735,-3.24318
774,-10.4571,12.5253,-0.288384,-3.19815
775,-10.4985,12.6471,-0.189253,-3.14928
776,-10.5075,12.7458,-0.0945775,-3.09662
777,-10.4834,12.8199,-0.00458336,-3.04023
778,-10.4256,12.868,0.0805101,-2.98018
779,-10.3335,12.8888,0.160495,-2.91656
780,-10.2064,12.8812,0.235171,-2.84947
781,-10.0437,12.8443,0.304352,-2.77903
782,-9.8448,12.7775,0.367862,-2.70539
783,-9.60895,12.6802,0.425539,-2.62868
784,-9.33559,12.5522,0.477236,-2.54908
785,-9.02414,12.3936,0.522821,-2.46677
786,-8.67409,12.2047,0.562179,-2.38196
787,-8.28503,11.986,0.595213,-2.29485
788,-7.85659,11.7384,0.621844,-2.20569
789,-7.38855,11.463,0.642015,-2.11472
790,-6.88079,11.1611,0.655689,-2.02219
791,-6.33336,10.8345,0.662849,-1.92838
792,-19.6953,27.6098,0.689689,-1.88558
793,-19.1476,27.4647,0.683224,-1.86084
794,-18.6172,27.3319,0.671712,-1.83653
795,-18.1286,27.2147,0.655901,-1.81332
796,-17.7028,27.1133,0.636595,-1.79177
797,-17.3565,27.0255,0.614599,-1.77227
798,-4.74608,10.4037,0.529728,-1.72651
799,-4.46441,10.2517,0.450739,-1.66117
800,-4.24598,10.0418,0.380101,-1.58907
801,-4.09456,9.78344,0.318274,-1.51111
802,-4.01284,9.48629,0.265631,-1.42819
803,-4.00241,9.16004,0.222458,-1.34124
804,-4.0638,8.81427,0.188954,-1.25121
805,-4.19651,8.45837,0.165231,-1.15904
806,-4.39904,8.10141,0.151313,-1.06566
807,-4.66897,7.75206,0.147144,-0.972007
808,-5.00305,7.41852,0.152583,-0.878986
809,-5.39721,7.10845,0.167415,-0.787474
810,-5.84666,6.82884,0.191347,-0.698319
811,-6.34602,6.58605,0.224021,-0.612326
812,-6.88933,6.38567,0.26501,-0.530259
813,-7.4702,6.23254,0.313832,-0.452827
814,-8.08186,6.1307,0.369947,-0.38069
815,-8.71728,6.08339,0.432771,-0.314445
816,-9.36924,6.093,0.501676,-0.254634
817,-10.0305,6.16113,0.575999,-0.201729
818,-10.6936,6.28855,0.655049,-0.156143
819,-11.3515,6.47527,0.738112,-0.118218
820,-11.9971,6.72051,0.824455,-0.0882315
821,-12.6235,7.02277,0.913341,-0.0663916
822,-13.2243,7.37989,1.00402,-0.052843
823,-13.7932,7.78906,1.09576,-0.047662
824,-14.3246,8.24688,1.18781,-0.0508641
825,-14.8133,8.74945,1.27946,-0.062401
826,-15.2545,9.29241,1.37,-0.0821665
827,-15.6441,9.87099,1.45875,-0.109998
828,-15.9785,10.4801,1.54506,-0.14568
829,-16.2546,11.1144,1.6283,-0.188949
830,-16.4702,11.7684,1.70788,-0.239494
831,-16.6235,12.4364,1.78325,-0.296964
832,-16.7133,13.1126,1.8539,-0.360971
833,-16.7392,13.7915,1.91936,-0.431094
834,-16.7011,14.4673,1.97919,-0.506884
835,-16.5997,15.1346,2.03302,-0.587867
836,-16.4362,15.788,2.08051,-0.673549
837,-16.2122,16.4225,2.12137,-0.763422
838,-15.9299,17.0333,2.15535,-0.856967
839,-15.5918,17.6158,2.18224,-0.953656
840,-15.2008,18.1661,2.20191,-1.05296
841,-14.7603,18.6802,2.21422,-1.15435
842,-14.2738,19.1549,2.21912,-1.25729
843,-13.7452,19.5872,2.21657,-1.36128
844,-13.1783,19.9748,2.20658,-1.46579
845,-12.5773,20.3155,2.18919,-1.57033
846,-11.9465,20.6078,2.16448,-1.67443
847,-11.2901,20.8505,2.13257,-1.7776
848,-10.6124,21.0428,2.09359,-1.87942
849,-9.91749,21.1846,2.04771,-1.97945
850,-9.20961,21.2757,1.99513,-2.07729
851,-8.49272,21.3167,1.93605,-2.17255
852,-7.77066,21.3084,1.87072,-2.26487
853,-7.04709,21.2519,1.79938,-2.35392
854,-6.32544,21.1485,1.7223,-2.43938
855,-5.60892,21,1.63976,-2.52097
856,-4.9005,20.8081,1.55205,-2.59842
857,-4.20286,20.575,1.45947,-2.67149
858,-3.51845,20.3028,1.36232,-2.73995
859,-2.84941,19.9938,1.26092,-2.8036
860,-2.19761,19.6505,1.15558,-2.86228
861,-1.56469,19.2752,1.04663,-2.91581
862,-0.951996,18.8703,0.934381,-2.96407
863,-0.360631,18.4385,0.819155,-3.00693
864,0.20855,17.9819,0.701276,-3.04429
865,0.754865,17.503,0.581064,-3.07606
866,1.27788,17.004,0.458838,-3.10218
867,1.7773,16.487,0.334918,-3.12259
868,2.25301,15.9541,0.209618,-3.13725
869,2.70501,15.4071,0.0832549,-3.14614
870,3.13341,14.8478,-0.0438603,-3.14924
871,3.53839,14.2779,-0.171417,-3.14655
872,3.92022,13.6986,-0.299107,-3.13808
873,4.27915,13.1115,-0.426625,-3.12387
874,4.61549,12.5176,-0.553665,-3.10394
875,4.92951,11.9181,-0.679926,-3.07833
876,5.22146,11.3138,-0.805106,-3.04713
877,5.49154,10.7056,-0.928908,-3.01038
878,5.73988,10.0942,-1.05104,-2.96818
879,5.96654,9.48023,-1.17119,-2.92063
880,6.17149,8.86437,-1.28909,-2.86782
881,6.35463,8.24714,-1.40443,-2.80989
882,6.51572,7.6291,-1.51693,-2.74697
883,6.65445,7.01078,-1.62631,-2.67921
884,6.7704,6.39274,-1.73229,-2.60676
885,6.86306,5.77561,-1.83459,-2.52981
886,6.93184,5.16002,-1.93294,-2.44855
887,6.97607,4.54675,-2.02708,-2.36319
888,6.99499,3.93659,-2.11676,-2.27395
889,6.98782,3.33051,-2.20172,-2.18106
890,6.95374,2.72955,-2.28173,-2.08478
891,6.89189,2.13489,-2.35656,-1.98538
892,6.80145,1.54785,-2.426,-1.88315
893,6.68158,0.969898,-2.48984,-1.77837
894,6.53152,0.402609,-2.5479,-1.67137
895,6.35056,-0.152254,-2.6,-1.56247
896,6.13807,-0.692842,-2.646,-1.45201
897,5.89354,-1.21713,-2.68575,-1.34035
898,5.61658,-1.723,-2.71914,-1.22784
899,5.30696,-2.20822,-2.74609,-1.11486
900,4.96461,-2.67046,-2.76651,-1.00178
901,4.58963,-3.10732,-2.78035,-0.889011
902,4.18236,-3.51633,-2.78761,-0.776929
903,3.74329,-3.895,-2.78827,-0.665936
904,3.2732,-4.24082,-2.78237,-0.556429
905,2.77303,-4.55129,-2.76996,-0.448809
906,2.24402,-4.82395,-2.75111,-0.34347
907,1.68758,-5.05641,-2.72595,-0.240805
908,1.10542,-5.24635,-2.6946,-0.141198
909,0.499423,-5.39159,-2.65723,-0.0450259
910,-0.128258,-5.49009,-2.61402,0.0473464
911,-0.77529,-5.53997,-2.56518,0.135567
912,-1.43912,-5.53956,-2.51096,0.219298
913,-2.11703,-5.4874,-2.45163,0.298222
914,-2.80611,-5.38227,-2.38745,0.372037
915,-3.50333,-5.22323,-2.31875,0.440466
916,-4.20553,-5.00959,-2.24585,0.503254
917,-4.90946,-4.74099,-2.16909,0.56017
918,-5.61178,-4.41735,-2.08884,0.61101
919,-6.30915,-4.03894,-2.00547,0.655599
920,-6.9982,-3.60633,-1.91937,0.693789
921,-7.67558,-3.12043,-1.83093,0.725465
922,-8.338,-2.58249,-1.74057,0.750541
923,-8.98225,-1.99406,-1.64869,0.768962
924,-9.60525,-1.35705,-1.55571,0.780708
925,-10.204,-0.673647,-1.46203,0.785787
926,-10.7759,0.0536325,-1.36807,0.784242
927,-11.3182,0.822012,-1.27423,0.776149
928,-11.8287,1.62843,-1.18091,0.761611
929,-12.3053,2.46961,-1.0885,0.740767
930,-12.7461,3.34202,-0.997377,0.713782
931,-13.1498,4.24196,-0.907899,0.68085
932,-13.5152,5.16557,-0.82041,0.642195
933,-13.8413,6.10885,-0.735238,0.598065
934,-14.1278,7.0677,-0.652687,0.548731
935,-14.3744,8.03794,-0.573042,0.49449
936,-14.5814,9.0154,-0.496561,0.435656
937,-14.7494,9.99587,-0.423481,0.372562
938,-14.8792,10.9752,-0.354008,0.30556
939,-14.9721,11.9493,-0.288326,0.235013
940,-15.0297,12.9142,-0.226587,0.161296
941,-15.054,13.866,-0.168916,0.0847945
942,-15.0472,14.8011,-0.115413,0.00590113
943,-15.0118,15.7161,-0.0661424,-0.0749886
944,-14.9505,16.6076,-0.0211487,-0.157475
945,-14.8664,17.4727,0.01956,-0.241159
946,-14.7628,18.3087,0.0559956,-0.325645
947,-14.643,19.1131,0.0882038,-0.410541
948,-14.5106,19.884,0.116249,-0.495459
949,-14.3692,20.6194,0.140227,-0.580024
950,-14.2227,21.3181,0.160251,-0.663868
951,-14.0748,21.9788,0.176461,-0.746636
952,-13.9293,22.601,0.189015,-0.827986
953,-13.79,23.1841,0.198088,-0.90759
954,-13.6606,23.7282,0.203876,-0.985138
955,-13.5447,24.2337,0.206589,-1.06034
956,-13.4458,24.7011,0.206448,-1.13291
957,-13.3672,25.1314,0.203687,-1.20259
958,-13.3119,25.5259,0.198552,-1.26915
959,-13.2829,25.8861,0.19129,-1.33237
960,-13.2828,26.2139,0.182161,-1.39204
961,-13.3138,26.5114,0.171423,-1.44798
962,-13.378,26.7806,0.159341,-1.50004
963,-13.4771,27.0243,0.146178,-1.54806
964,-13.6124,27.2448,0.132191,-1.59192
965,-13.7848,27.4449,0.117643,-1.63152
966,-13.995,27.6274,0.102784,-1.66676
967,-14.2432,27.7952,0.0878648,-1.69757
968,-14.5293,27.9512,0.0731242,-1.72388
969,-14.8527,28.0981,0.0587957,-1.74564
970,-15.2125,28.2387,0.0451017,-1.76283
971,-15.6074,28.3759,0.0322588,-1.77543
972,-16.0357,28.5123,0.0204666,-1.78341
973,-16.4956,28.6501,0.00991962,-1.78678
974,-16.9846,28.7919,0.000798719,-1.78553
975,-17.5002,28.9397,-0.00672897,-1.77969
976,-18.0393,29.0953,-0.0125053,-1.76928
977,-18.5989,29.2604,-0.0163858,-1.7543
978,-19.1755,29.4364,-0.0182336,-1.7348
979,-19.7654,29.6243,-0.0179302,-1.71079
980,-20.3648,29.825,-0.0153599,-1.68232
981,-20.9698,30.0389,-0.0104258,-1.64941
982,-21.5763,30.2663,-0.0030326,-1.61209
983,-22.18,30.5069,0.00689727,-1.57041
984,-22.7768,30.7604,0.0194407,-1.52439
985,-23.3623,31.026,0.0346597,-1.47407
986,-23.9324,31.3027,0.0526112,-1.41947
987,-24.4828,31.589,0.07335,-1.36064
988,-25.0095,31.8833,0.096916,-1.29759
989,-25.5083,32.1837,0.123354,-1.23037
990,-25.9753,32.488,0.152693,-1.15899
991,-26.4069,32.7937,0.184971,-1.0835
992,-26.7996,33.0983,0.220209,-1.00391
993,-27.1498,33.3989,0.258438,-0.920267
994,-27.4545,33.6925,0.299675,-0.832602
995,-27.7108,33.9759,0.343945,-0.740949
996,-27.916,34.2459,0.391264,-0.645349
997,-28.0679,34.4992,0.44165,-0.545847
998,-28.1644,34.7323,0.49512,-0.442494
999,-28.2036,34.9418,0.551683,-0.335344
1000,-28.184,35.1244,0.611359,-0.224463
1001,-28.1045,35.2766,0.67415,-0.109919
1002,-27.9641,35.395,0.740072,0.00820484
1003,-27.7623,35.4765,0.809125,0.129821
1004,-27.4986,35.518,0.881315,0.254826
1005,-27.1731,35.5164,0.956638,0.383111
1006,-26.786,35.469,1.03509,0.514551
1007,-26.3377,35.3732,1.11666,0.649006
1008,-25.829,35.2264,1.20134,0.786332
1009,-25.2607,35.0266,1.28909,0.926359
1010,-24.6342,34.7719,1.37988,1.06891
1011,-23.9508,34.4604,1.47369,1.2138
1012,-23.2119,34.0909,1.57045,1.36082
1013,-22.4194,33.6623,1.67011,1.50975
1014,-21.5749,33.1735,1.77259,1.66035
1015,-20.6806,32.6242,1.87782,1.81238
1016,-19.7385,32.0141,1.9857,1.96557
1017,-18.7508,31.3432,2.0961,2.11966
1018,-17.7196,30.6119,2.20891,2.27435
1019,-16.6473,29.8206,2.32399,2.42935
1020,-15.5361,28.9705,2.44118,2.58435
1021,-14.3885,28.0625,2.5603,2.73904
1022,-13.2067,27.0981,2.68116,2.89308
1023,-11.9931,26.079,2.80355,3.04615
1024,-10.75,25.007,2.92724,3.19791
1025,-9.47972,23.8843,3.052,3.34802
1026,-8.1845,22.7131,3.17756,3.49613
1027,-6.86655,21.496,3.30363,3.6419
1028,-5.52811,20.2354,3.42993,3.78497
1029,-4.17126,18.9344,3.55614,3.92501
1030,-2.79815,17.5956,3.68194,4.06168
1031,-1.4108,16.2221,3.80698,4.19464
1032,-0.0112792,14.8171,3.9309,4.32355
1033,1.39847,13.3836,4.05335,4.44809
1034,2.81644,11.9249,4.17393,4.56796
1035,4.24071,10.4441,4.29227,4.68285
1036,5.66934,8.94462,4.40795,4.79247
1037,7.10037,7.42956,4.52059,4.89654
1038,8.53185,5.90219,4.62976,4.9948
1039,9.96179,4.36569,4.73507,5.087
1040,11.3882,2.82323,4.83609,5.17291
1041,12.809,1.2779,4.93241,5.25233
1042,14.222,-0.267262,5.02363,5.32504
1043,15.625,-1.80928,5.10933,5.39089
1044,17.0158,-3.34525,5.18914,5.4497
1045,18.3919,-4.87236,5.26264,5.50135
1046,19.7508,-6.38784,5.32948,5.54572
1047,21.0898,-7.88905,5.38929,5.5827
1048,22.4063,-9.37338,5.44172,5.61223
1049,23.6973,-10.8384,5.48645,5.63425
1050,24.9596,-12.2815,5.52315,5.64871
1051,26.1902,-13.7005,5.55155,5.6556
1052,27.3857,-15.0931,5.57139,5.65492
1053,28.5424,-16.4569,5.58241,5.6467
1054,29.6569,-17.7899,5.58441,5.63096
1055,30.7251,-19.0898,5.57719,5.60775
1056,31.7431,-20.3546,5.56061,5.57716
1057,32.7069,-21.5822,5.53453,5.53926
1058,96.6146,-55.2281,5.70521,5.6596
1059,96.643,-55.8523,5.72321,5.6227
1060,96.036,-56.3035,5.76778,5.56345
1061,94.8136,-56.563,5.83716,5.48341
1062,93.0215,-56.6102,5.9287,5.38455
1063,90.7291,-56.426,6.03902,5.26923
1064,28.2591,-21.3021,6.13745,4.81407
1065,25.2628,-20.5101,6.53885,4.33065
1066,22.4,-19.536,6.90253,3.82361
1067,19.6927,-18.4066,7.22631,3.2964
1068,17.1602,-17.1497,7.50834,2.75262
1069,14.8188,-15.7942,7.74708,2.19597
1070,12.6818,-14.3696,7.94134,1.63024
1071,10.7593,-12.9056,8.09022,1.05926
1072,9.05834,-11.432,8.19323,0.486899
1073,7.5827,-9.97796,8.25016,-0.0830109
1074,6.33316,-8.5718,8.2612,-0.64667
1075,5.30742,-7.24082,8.22684,-1.20036
1076,4.50031,-6.01077,8.14794,-1.74045
1077,3.90387,-4.90568,8.02565,-2.26348
1078,3.50761,-3.94751,7.86147,-2.76612
1079,3.29862,-3.15592,7.65716,-3.24525
1080,3.26188,-2.54807,7.41478,-3.69795
1081,3.38049,-2.13841,7.13666,-4.12156
1082,3.63593,-1.9385,6.82535,-4.51365
1083,4.00839,-1.95695,6.48361,-4.87209
1084,4.47702,-2.19927,6.11441,-5.19502
1085,5.0203,-2.66787,5.72087,-5.48092
1086,5.61628,-3.36201,5.30623,-5.72855
1087,6.24296,-4.27788,4.87386,-5.93702
1088,6.8786,-5.40859,4.42717,-6.10574
1089,7.50197,-6.74437,3.96964,-6.23447
1090,8.09267,-8.2726,3.50475,-6.32329
1091,8.63146,-9.97809,3.03597,-6.3726
1092,9.10041,-11.8432,2.56671,-6.38311
1093,9.48327,-13.848,2.10032,-6.35586
1094,9.76554,-15.9708,1.64003,-6.29213
1095,9.93478,-18.1882,1.18896,-6.19353
1096,9.98071,-20.4753,0.750058,-6.0619
1097,9.89535,-22.8063,0.326099,-5.89931
1098,9.67309,-25.1547,-0.080339,-5.70807
1099,9.31079,-27.4934,-0.466896,-5.49065
1100,8.80781,-29.7954,-0.831442,-5.24972
1101,8.16596,-32.0341,-1.1721,-4.98805
1102,7.38946,-34.1833,-1.48725,-4.70856
1103,6.48494,-36.2179,-1.77555,-4.41424
1104,5.46126,-38.1139,-2.0359,-4.10811
1105,4.32938,-39.849,-2.26752,-3.79325
1106,3.10225,-41.4026,-2.46988,-3.47272
1107,1.79454,-42.7563,-2.64272,-3.14955
1108,0.422482,-43.8939,-2.78608,-2.82671
1109,-0.996391,-44.8018,-2.90023,-2.5071
1110,-2.44351,-45.4689,-2.98572,-2.19348
1111,-3.89952,-45.8872,-3.04333,-1.8885
1112,-5.34458,-46.0512,-3.07405,-1.59465
1113,-6.7586,-45.9588,-3.07912,-1.31424
1114,-8.12165,-45.6106,-3.05993,-1.04938
1115,-9.41413,-45.0103,-3.01808,-0.801977
1116,-10.6171,-44.1645,-2.9553,-0.573714
1117,-11.7126,-43.0827,-2.87345,-0.366037
1118,-12.6839,-41.7769,-2.77451,-0.180147
1119,-13.5156,-40.2621,-2.66053,-0.0169971
1120,-14.1943,-38.5554,-2.53366,0.12271
1121,-14.7081,-36.6762,-2.39603,0.238525
1122,-15.0477,-34.6457,-2.24982,0.330255
1123,-15.2055,-32.4868,-2.09721,0.397952
1124,-15.1768,-30.2241,-1.94033,0.441904
1125,-14.9591,-27.8829,-1.78125,0.462637
1126,-14.5526,-25.4895,-1.622,0.460893
1127,-13.96,-23.0705,-1.4645,0.437621
1128,-13.1865,-20.6527,-1.31056,0.393966
1129,-12.2401,-18.2627,-1.16188,0.331243
1130,-11.1311,-15.9266,-1.02001,0.25093
1131,-9.87222,-13.6695,-0.88636,0.154638
1132,-8.47832,-11.5154,-0.762178,0.0441017
1133,-6.9664,-9.48697,-0.64855,-0.078853
1134,-5.35531,-7.60486,-0.546385,-0.212319
1135,-3.66548,-5.88791,-0.456422,-0.354337
1136,-1.91875,-4.35269,-0.379219,-0.502915
1137,-0.138038,-3.01337,-0.315162,-0.656048
1138,1.65293,-1.88146,-0.264461,-0.811742
1139,3.42992,-0.965803,-0.227158,-0.968028
1140,5.16854,-0.272369,-0.203133,-1.12299
1141,6.8445,0.195729,-0.192111,-1.27477
1142,8.43399,0.43834,-0.193674,-1.42161
1143,9.91401,0.458206,-0.207267,-1.56183
1144,11.2626,0.260922,-0.232217,-1.69388
1145,12.4593,-0.145112,-0.26774,-1.81631
1146,13.4853,-0.748863,-0.312959,-1.92782
1147,14.3238,-1.53679,-0.366916,-2.02726
1148,14.9601,-2.49303,-0.428588,-2.11362
1149,15.3822,-3.59966,-0.496904,-2.18603
1150,15.5805,-4.83687,-0.570756,-2.24379
1151,15.5483,-6.18331,-0.649018,-2.28636
1152,15.282,-7.61635,-0.730559,-2.31334
1153,14.7807,-9.11236,-0.814255,-2.32451
