idx,delta_phi_re,delta_phi_im,delta_psi_re,delta_psi_im
132,-1.87036,-38.2196,-5.98402,-1.29829
133,-1.55748,-44.3565,-6.61576,-0.255841
134,-1.27012,-50.1751,-7.21646,0.745775
135,-1.00857,-55.5822,-7.78271,1.69811
136,-0.774068,-60.4879,-8.31121,2.59308
137,-0.568828,-64.8077,-8.79879,3.42296
138,-0.396173,-68.463,-9.24244,4.18058
139,-0.260498,-71.3831,-9.63932,4.8593
140,-0.167337,-73.5055,-9.98676,5.45317
141,-0.12328,-74.7778,-10.2823,5.95695
142,-0.135865,-75.1581,-10.5238,6.36618
143,-0.213514,-74.6161,-10.7093,6.67727
144,-0.365315,-73.1338,-10.8371,6.88749
145,-0.60084,-70.7059,-10.9058,6.99506
146,-0.929873,-67.3403,-10.9143,6.99915
147,-1.36212,-63.0586,-10.8619,6.89991
148,-1.9069,-57.8957,-10.7481,6.69847
149,-2.5728,-51.9001,-10.5728,6.39695
150,-3.36723,-45.1337,-10.3363,5.99843
151,-4.29606,-37.6708,-10.0392,5.50695
152,-5.36323,-29.5983,-9.68237,4.92744
153,-6.57016,-21.0145,-9.26716,4.26571
154,-7.91545,-12.0279,-8.7952,3.52838
155,-9.39432,-2.75692,-8.26845,2.72283
156,-10.9982,6.67192,-7.68918,1.8571
157,-12.7142,16.1251,-7.05997,0.939845
158,-14.5249,25.4634,-6.38369,-0.0197914
159,-16.4075,34.5437,-5.66343,-1.01223
160,-18.3339,43.22,-4.9025,-2.02759
161,-20.27,51.3457,-4.10442,-3.05578
162,-22.1756,58.7746,-3.27282,-4.08657
163,-24.0038,65.3629,-2.41145,-5.10979
164,-25.7011,70.9706,-1.5241,-6.11534
165,-27.207,75.4632,-0.614552,-7.09336
166,-28.4537,78.7128,0.313471,-8.03435
167,-29.3664,80.5998,1.25636,-8.92923
168,-29.8629,81.014,2.21071,-9.76949
169,-29.8536,79.8556,3.17335,-10.5473
170,-29.2417,77.0362,4.14143,-11.2555
171,-27.9235,72.4794,5.11251,-11.8879
172,-25.7885,66.1214,6.08458,-12.4392
173,-22.7197,57.9113,7.05616,-12.9051
174,-18.5949,47.8116,8.02634,-13.2824
175,-13.2871,35.7983,8.99476,-13.5691
176,-6.66743,21.8614,9.96166,-13.7643
177,1.39262,6.0068,10.9277,-13.8684
178,11.0142,-11.7407,11.8936,-13.8826
179,22.2999,-31.3302,12.8596,-13.8092
180,35.3113,-52.667,13.824,-13.651
181,50.0187,-75.5741,14.7799,-13.4096
182,66.1808,-99.6921,15.7071,-13.0828
183,82.9977,-124.187,16.5485,-12.656
184,97.8048,-146.619,17.1219,-12.067
185,95.6352,-153.782,16.4117,-10.9215
186,317.886,-103.423,27.1709,4.44652
187,211.573,-23.7545,19.8216,7.36215
188,148.766,13.9782,15.4167,8.89186
189,100.684,36.3604,11.9715,9.86939
190,61.7448,49.8819,9.07986,10.5186
191,29.6494,57.4882,6.57257,10.9408
192,3.10022,60.8713,4.35665,11.1913
193,-18.764,61.1317,2.37349,11.3035
194,-36.5742,59.0431,0.583191,11.2986
195,-50.8235,55.1805,-1.0426,11.1908
196,-61.9157,49.9889,-2.52462,10.9897
197,-70.1934,43.8247,-3.87822,10.7025
198,-75.9549,36.9805,-5.11485,10.3347
199,-79.4655,29.7007,-6.243,9.89068
200,-80.9661,22.1933,-7.2689,9.37455
201,-80.6772,14.6364,-8.19701,8.79007
202,-78.8041,7.18367,-9.03044,8.14103
203,-75.5386,-0.0323279,-9.77122,7.43143
204,-71.062,-6.89743,-10.4206,6.66549
205,-65.5454,-13.314,-10.9792,5.84779
206,-59.1518,-19.1999,-11.4473,4.98325
207,-52.0362,-24.487,-11.8247,4.07717
208,-44.3461,-29.1207,-12.1112,3.13524
209,-36.2221,-33.059,-12.3066,2.16349
210,-27.7973,-36.2722,-12.4108,1.1683
211,-19.1982,-38.7419,-12.4236,0.156334
212,-10.5437,-40.4612,-12.3454,-0.865469
213,-1.94563,-41.4332,-12.1766,-1.88995
214,6.49201,-41.6712,-11.9181,-2.90982
215,14.6728,-41.1977,-11.5714,-3.91765
216,22.5087,-40.0438,-11.138,-4.90597
217,29.9196,-38.2485,-10.6203,-5.86734
