0.983359,2.52882
0.962578,2.56482
0.941797,2.60081
0.921016,2.6368
0.900234,2.6728
0.879453,2.70879
0.858672,2.74479
0.837891,2.78078
0.817109,2.81678
0.796328,2.85277
0.775547,2.88876
0.754766,2.92476
0.733984,2.96075
0.713203,2.99675
0.692422,3.03274
0.671641,3.06874
0.650859,3.10473
0.630078,3.14072
0.609297,3.17672
0.588516,3.21271
0.567734,3.24871
0.546953,3.2847
0.526172,3.32069
0.505391,3.35669
0.484609,3.39268
0.463828,3.42868
0.443047,3.46467
0.422266,3.50067
0.401484,3.53666
0.380703,3.57265
0.359922,3.60865
0.339141,3.64464
0.318359,3.68064
0.297578,3.71663
0.276797,3.75262
0.256016,3.78862
0.235234,3.82461
0.214453,3.86061
0.193672,3.8966
0.172891,3.9326
0.152109,3.96859
0.131328,4.00458
0.110547,4.04058
0.0897656,4.07657
0.0689844,4.11257
0.0482031,4.14856
0.0274219,4.18455
0.00664062,4.22055
-0.0141406,4.25654
-0.0349219,4.29254
-0.0557031,4.32853
-0.0764844,4.36453
-0.0972656,4.40052
-0.118047,4.43651
-0.138828,4.47251
-0.159609,4.5085
-0.180391,4.5445
-0.201172,4.58049
-0.221953,4.61648
-0.242734,4.65248
-0.263516,4.68847
-0.284297,4.72447
-0.305078,4.76046
-0.325859,4.79646
-0.346641,4.83245
-0.367422,4.86844
-0.388203,4.90444
-0.408984,4.94043
-0.429766,4.97643
-0.450547,5.01242
-0.471328,5.04842
-0.492109,5.08441
-0.512891,5.1204
-0.533672,5.1564
-0.554453,5.19239
-0.575234,5.22839
-0.596016,5.26438
-0.616797,5.30037
-0.637578,5.33637
-0.658359,5.37236
-0.679141,5.40836
-0.699922,5.44435
-0.720703,5.48035
-0.741484,5.51634
-0.762266,5.55233
-0.783047,5.58833
-0.803828,5.62432
-0.824609,5.66032
-0.845391,5.69631
-0.866172,5.7323
-0.886953,5.7683
-0.907734,5.80429
-0.928516,5.84029
-0.949297,5.87628
-0.970078,5.91228
-0.990859,5.94827
-1.01164,5.98426
-1.03242,6.02026
-1.0532,6.05625
-1.07398,6.09225
-1.09477,6.12824
-1.11555,6.16423
-1.13633,6.20023
-1.15711,6.23622
-1.17789,6.27222
-1.19867,6.30821
-1.21945,6.34421
-1.24023,6.3802
-1.26102,6.41619
-1.2818,6.45219
-1.30258,6.48818
